A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1000,1000,1000,1,0.009,2.616,0.000,2.624
1000,1000,1000,1,0.004,2.387,0.000,2.391
1000,1000,1000,1,0.003,2.385,0.000,2.388
1000,1000,1000,1,0.003,2.405,0.000,2.408
1000,1000,1000,1,0.003,2.403,0.000,2.407
1000,1000,1000,1,0.003,2.400,0.000,2.403
1000,1000,1000,1,0.003,2.401,0.000,2.404
1000,1000,1000,1,0.003,2.402,0.000,2.406
1000,1000,1000,1,0.003,2.407,0.000,2.410
1000,1000,1000,1,0.003,2.416,0.000,2.419
1000,1000,1000,1,0.003,2.407,0.000,2.410
1000,1000,1000,1,0.003,2.430,0.000,2.433
1000,1000,1000,1,0.003,2.405,0.000,2.408
1000,1000,1000,1,0.003,2.406,0.000,2.409
1000,1000,1000,1,0.003,2.416,0.000,2.419
