A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1000,1000,1000,2,0.002,1.476,0.000,1.478
1000,1000,1000,2,0.002,1.527,0.000,1.529
1000,1000,1000,2,0.002,1.517,0.000,1.519
1000,1000,1000,2,0.002,1.526,0.000,1.528
1000,1000,1000,2,0.002,1.549,0.000,1.551
1000,1000,1000,2,0.003,1.520,0.000,1.522
1000,1000,1000,2,0.002,1.536,0.000,1.538
1000,1000,1000,2,0.002,1.547,0.000,1.549
1000,1000,1000,2,0.002,1.522,0.000,1.524
1000,1000,1000,2,0.002,1.548,0.000,1.550
1000,1000,1000,2,0.002,1.549,0.000,1.551
1000,1000,1000,2,0.002,1.510,0.000,1.512
1000,1000,1000,2,0.002,1.544,0.000,1.546
1000,1000,1000,2,0.002,1.521,0.000,1.523
1000,1000,1000,2,0.002,1.507,0.000,1.510
