A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
1500,1500,1500,2,0.013,2.805,2.819
1500,1500,1500,2,0.016,2.886,2.902
1500,1500,1500,2,0.012,2.882,2.894
1500,1500,1500,2,0.016,2.880,2.895
1500,1500,1500,2,0.012,2.884,2.896
1500,1500,1500,2,0.013,2.885,2.898
1500,1500,1500,2,0.012,2.884,2.897
1500,1500,1500,2,0.013,2.891,2.904
1500,1500,1500,2,0.013,2.886,2.898
1500,1500,1500,2,0.013,2.885,2.898
1500,1500,1500,2,0.016,2.886,2.902
1500,1500,1500,2,0.012,2.887,2.899
1500,1500,1500,2,0.013,2.888,2.901
1500,1500,1500,2,0.012,2.883,2.895
1500,1500,1500,2,0.013,2.889,2.902
