row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
8000,8000,4,0.294171,0.113314,0.271,0.125,0.223,396.25
8000,8000,4,0.306359,0.126366,0.314,0.130,0.204,396.58
8000,8000,4,0.375336,0.123700,0.376,0.152,0.210,384.80
8000,8000,4,0.387388,0.123855,0.394,0.161,0.219,379.50
8000,8000,4,0.295948,0.127558,0.292,0.131,0.229,396.77
8000,8000,4,0.339742,0.128962,0.316,0.142,0.248,397.08
8000,8000,4,0.360517,0.129019,0.344,0.149,0.248,397.21
8000,8000,4,0.336771,0.141050,0.344,0.144,0.227,397.08
8000,8000,4,0.345612,0.129011,0.348,0.144,0.222,397.06
8000,8000,4,0.361590,0.141791,0.401,0.152,0.202,397.22
8000,8000,4,0.355051,0.142509,0.388,0.150,0.210,397.04
8000,8000,4,0.431012,0.129627,0.374,0.175,0.290,380.35
8000,8000,4,0.409024,0.135249,0.376,0.167,0.266,384.07
8000,8000,4,0.351915,0.128953,0.338,0.145,0.236,397.01
8000,8000,4,0.377349,0.129170,0.359,0.153,0.247,397.14
8000,8000,4,0.404851,0.127244,0.408,0.161,0.220,389.39
8000,8000,4,0.394799,0.134502,0.386,0.157,0.235,395.03
8000,8000,4,0.410650,0.128364,0.397,0.170,0.247,379.33
8000,8000,4,0.413065,0.129930,0.363,0.170,0.282,380.12
8000,8000,4,0.408127,0.123876,0.383,0.164,0.248,383.96
8000,8000,4,0.320855,0.128013,0.346,0.139,0.205,397.09
8000,8000,4,0.396390,0.126438,0.387,0.157,0.234,394.26
8000,8000,4,0.341306,0.141042,0.324,0.145,0.251,396.65
8000,8000,4,0.410555,0.138401,0.402,0.171,0.244,378.45
8000,8000,4,0.349524,0.140824,0.380,0.147,0.202,396.88
8000,8000,4,0.346190,0.128856,0.337,0.144,0.231,396.04
8000,8000,4,0.359998,0.128808,0.347,0.148,0.239,396.75
8000,8000,4,0.408756,0.135315,0.402,0.170,0.242,378.50
8000,8000,4,0.408222,0.127367,0.380,0.163,0.253,387.72
8000,8000,4,0.409211,0.135689,0.383,0.171,0.262,377.58
8000,8000,4,0.391804,0.124450,0.358,0.160,0.256,383.99
8000,8000,4,0.382461,0.124782,0.353,0.153,0.248,392.53
8000,8000,4,0.410728,0.138224,0.400,0.169,0.244,380.25
8000,8000,4,0.380403,0.123550,0.353,0.152,0.243,392.51
8000,8000,4,0.398454,0.137440,0.387,0.167,0.246,379.43
8000,8000,4,0.317706,0.140830,0.333,0.139,0.219,396.72
8000,8000,4,0.377079,0.129139,0.353,0.152,0.249,396.85
8000,8000,4,0.328460,0.128850,0.320,0.141,0.240,396.84
8000,8000,4,0.382176,0.128972,0.370,0.153,0.238,397.27
8000,8000,4,0.360150,0.140989,0.330,0.150,0.265,397.06
8000,8000,4,0.410668,0.137782,0.363,0.171,0.282,378.60
8000,8000,4,0.411649,0.138045,0.392,0.171,0.255,378.89
8000,8000,4,0.410354,0.138899,0.376,0.170,0.266,378.18
8000,8000,4,0.391053,0.134321,0.360,0.162,0.256,380.34
8000,8000,4,0.391553,0.124924,0.353,0.158,0.257,386.33
8000,8000,4,0.346097,0.128210,0.337,0.144,0.234,396.99
8000,8000,4,0.409660,0.136881,0.398,0.166,0.242,384.93
