A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
2000,2000,2000,8,0.033,3.156,0.062,3.250
2000,2000,2000,8,0.034,3.184,0.055,3.273
2000,2000,2000,8,0.034,3.185,0.060,3.279
2000,2000,2000,8,0.035,3.177,0.051,3.262
2000,2000,2000,8,0.034,3.165,0.057,3.256
2000,2000,2000,8,0.034,3.189,0.053,3.276
2000,2000,2000,8,0.034,3.173,0.069,3.276
2000,2000,2000,8,0.034,3.172,0.056,3.262
2000,2000,2000,8,0.035,3.170,0.059,3.264
2000,2000,2000,8,0.034,3.169,0.053,3.256
2000,2000,2000,8,0.034,3.170,0.054,3.258
2000,2000,2000,8,0.034,3.169,0.046,3.250
2000,2000,2000,8,0.034,3.171,0.062,3.267
2000,2000,2000,8,0.035,3.172,0.055,3.262
2000,2000,2000,8,0.034,3.172,0.066,3.273
