A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
5000,5000,5000,4,0.125,72.835,0.223,73.182
5000,5000,5000,4,0.166,72.962,0.181,73.309
5000,5000,5000,4,0.163,72.443,0.257,72.863
5000,5000,5000,4,0.152,72.667,0.180,72.999
5000,5000,5000,4,0.190,72.512,0.194,72.897
5000,5000,5000,4,0.158,72.367,0.218,72.744
5000,5000,5000,4,0.204,72.384,0.265,72.853
5000,5000,5000,4,0.184,72.481,0.183,72.849
5000,5000,5000,4,0.159,72.591,0.201,72.950
5000,5000,5000,4,0.178,72.613,0.206,72.996
5000,5000,5000,4,0.153,72.694,0.194,73.042
5000,5000,5000,4,0.150,72.385,0.222,72.756
5000,5000,5000,4,0.157,73.083,0.191,73.430
5000,5000,5000,4,0.173,72.394,0.248,72.815
5000,5000,5000,4,0.196,72.660,0.295,73.152
