A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
5000,5000,5000,1,0.145,174.742,0.101,174.988
5000,5000,5000,1,0.159,175.269,0.119,175.547
5000,5000,5000,1,0.147,175.340,0.121,175.608
5000,5000,5000,1,0.146,175.309,0.121,175.576
5000,5000,5000,1,0.142,175.271,0.121,175.534
5000,5000,5000,1,0.145,175.298,0.121,175.564
5000,5000,5000,1,0.145,175.277,0.121,175.542
5000,5000,5000,1,0.145,175.319,0.120,175.584
5000,5000,5000,1,0.145,175.138,0.121,175.404
5000,5000,5000,1,0.142,175.272,0.119,175.533
5000,5000,5000,1,0.145,175.388,0.119,175.653
5000,5000,5000,1,0.145,175.268,0.121,175.533
5000,5000,5000,1,0.142,175.211,0.121,175.473
5000,5000,5000,1,0.145,175.284,0.121,175.550
5000,5000,5000,1,0.145,175.751,0.120,176.016
