A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
500,500,500,1,0.003,0.257,0.002,0.262
500,500,500,1,0.002,0.215,0.002,0.219
500,500,500,1,0.002,0.194,0.002,0.198
500,500,500,1,0.002,0.184,0.002,0.187
500,500,500,1,0.002,0.176,0.001,0.179
500,500,500,1,0.002,0.170,0.001,0.173
500,500,500,1,0.002,0.170,0.001,0.173
500,500,500,1,0.002,0.164,0.001,0.167
500,500,500,1,0.002,0.164,0.001,0.167
500,500,500,1,0.002,0.164,0.001,0.167
500,500,500,1,0.002,0.164,0.001,0.167
500,500,500,1,0.002,0.164,0.005,0.171
500,500,500,1,0.002,0.161,0.001,0.165
500,500,500,1,0.002,0.159,0.001,0.162
500,500,500,1,0.002,0.164,0.001,0.167
