A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
500,500,500,16,0.169,0.712,0.881
500,500,500,16,0.129,0.555,0.685
500,500,500,16,0.148,0.483,0.631
500,500,500,16,0.142,0.541,0.684
500,500,500,16,0.183,0.554,0.737
500,500,500,16,0.172,0.348,0.520
500,500,500,16,0.190,0.598,0.788
500,500,500,16,0.208,0.551,0.759
500,500,500,16,0.121,0.572,0.693
500,500,500,16,0.126,0.393,0.519
500,500,500,16,0.202,0.547,0.749
500,500,500,16,0.124,0.654,0.777
500,500,500,16,0.202,0.563,0.765
500,500,500,16,0.204,0.533,0.737
500,500,500,16,0.177,0.554,0.730
500,500,500,16,0.171,0.517,0.687
500,500,500,16,0.201,0.585,0.786
500,500,500,16,0.137,0.477,0.614
500,500,500,16,0.139,0.523,0.662
500,500,500,16,0.186,0.342,0.529
500,500,500,16,0.211,0.554,0.764
500,500,500,16,0.192,0.687,0.879
500,500,500,16,0.178,0.565,0.742
500,500,500,16,0.156,0.471,0.627
500,500,500,16,0.209,0.556,0.765
500,500,500,16,0.222,0.585,0.807
500,500,500,16,0.200,0.389,0.589
500,500,500,16,0.124,0.779,0.903
500,500,500,16,0.135,0.390,0.525
500,500,500,16,0.168,0.554,0.722
500,500,500,16,0.125,0.597,0.722
500,500,500,16,0.185,0.597,0.783
500,500,500,16,0.128,0.402,0.530
500,500,500,16,0.155,0.550,0.706
500,500,500,16,0.165,0.530,0.695
500,500,500,16,0.159,0.689,0.848
500,500,500,16,0.146,0.399,0.545
500,500,500,16,0.163,0.598,0.761
500,500,500,16,0.128,0.645,0.773
500,500,500,16,0.169,0.404,0.573
500,500,500,16,0.205,0.465,0.669
500,500,500,16,0.194,0.401,0.595
500,500,500,16,0.134,0.592,0.726
500,500,500,16,0.192,0.446,0.638
500,500,500,16,0.254,0.540,0.795
500,500,500,16,0.207,0.414,0.621
500,500,500,16,0.146,0.386,0.531
500,500,500,16,0.191,0.433,0.624
500,500,500,16,0.126,0.354,0.480
500,500,500,16,0.190,0.585,0.775
500,500,500,16,0.174,0.339,0.513
500,500,500,16,0.230,0.441,0.671
500,500,500,16,0.169,0.465,0.634
500,500,500,16,0.154,0.469,0.623
500,500,500,16,0.187,0.535,0.722
500,500,500,16,0.226,0.590,0.816
500,500,500,16,0.185,0.784,0.970
500,500,500,16,0.178,0.521,0.699
500,500,500,16,0.251,0.568,0.819
500,500,500,16,0.116,0.483,0.599
500,500,500,16,0.193,0.600,0.793
500,500,500,16,0.186,0.449,0.635
500,500,500,16,0.166,0.596,0.762
500,500,500,16,0.169,0.393,0.562
500,500,500,16,0.163,0.483,0.646
500,500,500,16,0.217,0.673,0.890
500,500,500,16,0.222,0.595,0.817
500,500,500,16,0.167,0.518,0.686
500,500,500,16,0.190,0.572,0.762
500,500,500,16,0.142,0.570,0.712
500,500,500,16,0.121,0.539,0.660
500,500,500,16,0.156,0.530,0.685
500,500,500,16,0.254,0.504,0.758
500,500,500,16,0.125,0.573,0.697
500,500,500,16,0.168,0.565,0.733
500,500,500,16,0.158,0.605,0.763
500,500,500,16,0.195,0.660,0.855
500,500,500,16,0.159,0.674,0.834
500,500,500,16,0.193,0.515,0.708
500,500,500,16,0.131,0.433,0.564
500,500,500,16,0.172,0.456,0.629
500,500,500,16,0.140,0.527,0.667
500,500,500,16,0.195,0.495,0.691
500,500,500,16,0.206,0.464,0.670
500,500,500,16,0.180,0.336,0.516
500,500,500,16,0.165,0.379,0.545
500,500,500,16,0.193,0.341,0.535
500,500,500,16,0.261,0.739,1.000
500,500,500,16,0.260,0.608,0.868
500,500,500,16,0.206,0.620,0.827
500,500,500,16,0.240,0.492,0.732
500,500,500,16,0.128,0.393,0.521
500,500,500,16,0.177,0.520,0.698
500,500,500,16,0.198,0.445,0.643
500,500,500,16,0.155,0.453,0.607
500,500,500,16,0.124,0.559,0.684
500,500,500,16,0.156,0.386,0.541
500,500,500,16,0.166,0.608,0.774
500,500,500,16,0.184,0.468,0.652
500,500,500,16,0.160,0.478,0.639
