A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
2000,2000,2000,8,0.004,6.728,0.000,6.732
2000,2000,2000,8,0.005,6.788,0.000,6.793
2000,2000,2000,8,0.005,6.931,0.000,6.936
2000,2000,2000,8,0.005,6.758,0.000,6.763
2000,2000,2000,8,0.005,6.783,0.000,6.788
2000,2000,2000,8,0.005,6.778,0.000,6.782
2000,2000,2000,8,0.005,6.735,0.000,6.739
2000,2000,2000,8,0.005,6.730,0.000,6.735
2000,2000,2000,8,0.005,6.748,0.000,6.753
2000,2000,2000,8,0.005,6.726,0.000,6.730
2000,2000,2000,8,0.005,6.751,0.000,6.756
2000,2000,2000,8,0.005,6.757,0.000,6.761
2000,2000,2000,8,0.005,6.752,0.000,6.756
2000,2000,2000,8,0.005,6.851,0.000,6.856
2000,2000,2000,8,0.005,6.866,0.000,6.871
