A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1250,1250,1250,2,0.008,1.605,0.010,1.622
1250,1250,1250,2,0.009,1.695,0.008,1.712
1250,1250,1250,2,0.009,1.682,0.012,1.703
1250,1250,1250,2,0.009,1.676,0.009,1.694
1250,1250,1250,2,0.009,1.679,0.009,1.697
1250,1250,1250,2,0.009,1.676,0.011,1.697
1250,1250,1250,2,0.009,1.675,0.008,1.693
1250,1250,1250,2,0.009,1.676,0.008,1.693
1250,1250,1250,2,0.009,1.670,0.011,1.689
1250,1250,1250,2,0.009,1.681,0.010,1.700
1250,1250,1250,2,0.009,1.677,0.009,1.695
1250,1250,1250,2,0.009,1.674,0.011,1.694
1250,1250,1250,2,0.009,1.676,0.008,1.694
1250,1250,1250,2,0.009,1.666,0.009,1.684
1250,1250,1250,2,0.009,1.678,0.011,1.698
