A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1500,1500,1500,16,0.133,4.112,0.000,4.245
1500,1500,1500,16,0.145,4.135,0.000,4.279
1500,1500,1500,16,0.173,4.335,0.000,4.508
1500,1500,1500,16,0.121,4.217,0.000,4.338
1500,1500,1500,16,0.161,4.097,0.000,4.258
1500,1500,1500,16,0.105,4.383,0.000,4.488
1500,1500,1500,16,0.097,4.077,0.000,4.174
1500,1500,1500,16,0.093,4.105,0.000,4.198
1500,1500,1500,16,0.101,4.168,0.000,4.269
1500,1500,1500,16,0.129,4.062,0.000,4.191
1500,1500,1500,16,0.121,4.026,0.000,4.147
1500,1500,1500,16,0.109,4.149,0.000,4.258
1500,1500,1500,16,0.177,4.469,0.000,4.646
1500,1500,1500,16,0.105,4.089,0.000,4.194
1500,1500,1500,16,0.193,4.212,0.000,4.405
