NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
524288,724,5,2,0.001431,0.044714,0.046145,0.086,0.047,0.000,183.38
524288,724,5,2,0.001511,0.052485,0.053996,0.103,0.055,0.000,187.26
524288,724,5,2,0.001322,0.043367,0.044689,0.081,0.045,0.000,179.14
524288,724,5,2,0.001219,0.045771,0.046990,0.087,0.048,0.000,182.19
524288,724,5,2,0.001327,0.043072,0.044399,0.083,0.045,0.000,184.76
524288,724,5,2,0.001698,0.042887,0.044585,0.064,0.045,0.018,179.76
524288,724,5,2,0.001327,0.041928,0.043255,0.081,0.044,0.000,183.50
