A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
250,250,250,32,0.361,1.358,1.720
250,250,250,32,0.406,1.365,1.771
250,250,250,32,0.381,1.235,1.616
250,250,250,32,0.349,1.161,1.510
250,250,250,32,0.401,1.124,1.525
250,250,250,32,0.414,1.351,1.765
250,250,250,32,0.342,0.999,1.341
250,250,250,32,0.371,1.277,1.648
250,250,250,32,0.371,1.312,1.683
250,250,250,32,0.376,1.385,1.762
250,250,250,32,0.381,1.246,1.627
250,250,250,32,0.332,1.211,1.543
250,250,250,32,0.364,1.214,1.578
250,250,250,32,0.405,1.192,1.597
250,250,250,32,0.326,1.005,1.330
250,250,250,32,0.348,1.132,1.480
250,250,250,32,0.373,1.060,1.433
250,250,250,32,0.357,1.115,1.472
250,250,250,32,0.340,1.080,1.421
250,250,250,32,0.353,1.199,1.552
250,250,250,32,0.356,1.337,1.692
250,250,250,32,0.442,1.360,1.802
250,250,250,32,0.331,1.333,1.663
250,250,250,32,0.391,1.230,1.620
250,250,250,32,0.389,1.138,1.527
250,250,250,32,0.394,1.346,1.739
250,250,250,32,0.375,1.039,1.414
250,250,250,32,0.347,1.201,1.548
250,250,250,32,0.382,1.484,1.866
250,250,250,32,0.324,1.344,1.668
250,250,250,32,0.369,1.427,1.797
250,250,250,32,0.328,1.254,1.582
250,250,250,32,0.364,1.174,1.537
250,250,250,32,0.396,1.304,1.700
250,250,250,32,0.372,1.308,1.680
250,250,250,32,0.414,1.055,1.470
250,250,250,32,0.353,1.295,1.648
250,250,250,32,0.414,1.450,1.865
250,250,250,32,0.419,1.223,1.642
250,250,250,32,0.383,1.357,1.740
250,250,250,32,0.357,1.471,1.828
250,250,250,32,0.362,1.188,1.550
250,250,250,32,0.358,1.249,1.607
250,250,250,32,0.356,1.245,1.601
250,250,250,32,0.368,1.335,1.704
250,250,250,32,0.381,1.420,1.801
250,250,250,32,0.352,0.977,1.330
250,250,250,32,0.401,1.398,1.799
250,250,250,32,0.385,1.217,1.602
250,250,250,32,0.353,1.447,1.801
250,250,250,32,0.395,1.276,1.671
250,250,250,32,0.379,1.129,1.508
250,250,250,32,0.397,1.300,1.698
250,250,250,32,0.413,1.104,1.517
250,250,250,32,0.359,1.088,1.447
250,250,250,32,0.332,1.096,1.427
250,250,250,32,0.413,1.237,1.650
250,250,250,32,0.363,1.119,1.482
250,250,250,32,0.376,1.577,1.953
250,250,250,32,0.389,1.242,1.631
250,250,250,32,0.364,1.242,1.606
250,250,250,32,0.383,1.180,1.563
250,250,250,32,0.391,1.145,1.536
250,250,250,32,0.373,1.176,1.549
250,250,250,32,0.337,1.106,1.444
250,250,250,32,0.352,1.300,1.652
250,250,250,32,0.349,1.098,1.447
250,250,250,32,0.348,1.211,1.560
250,250,250,32,0.390,1.423,1.814
250,250,250,32,0.407,1.046,1.454
250,250,250,32,0.395,1.321,1.716
250,250,250,32,0.304,1.393,1.697
250,250,250,32,0.382,1.439,1.821
250,250,250,32,0.361,1.252,1.613
250,250,250,32,0.378,1.284,1.661
250,250,250,32,0.329,1.109,1.439
250,250,250,32,0.330,1.224,1.554
250,250,250,32,0.333,1.251,1.584
250,250,250,32,0.345,1.150,1.495
250,250,250,32,0.423,1.313,1.737
250,250,250,32,0.400,1.394,1.793
250,250,250,32,0.419,1.237,1.656
250,250,250,32,0.351,1.147,1.498
250,250,250,32,0.362,1.305,1.667
250,250,250,32,0.372,1.109,1.481
250,250,250,32,0.358,1.381,1.739
250,250,250,32,0.422,1.344,1.766
250,250,250,32,0.387,1.505,1.891
250,250,250,32,0.370,1.238,1.608
250,250,250,32,0.365,1.244,1.610
250,250,250,32,0.407,1.361,1.768
250,250,250,32,0.363,1.271,1.634
250,250,250,32,0.330,1.232,1.562
250,250,250,32,0.392,1.285,1.677
250,250,250,32,0.363,1.246,1.609
250,250,250,32,0.401,1.355,1.755
250,250,250,32,0.372,1.250,1.622
250,250,250,32,0.358,1.120,1.479
250,250,250,32,0.385,1.165,1.550
250,250,250,32,0.338,1.344,1.682
